"nominee","consistency_score","ideology","ideology_mq","average_drift_per_term","ideology_mq_hat"
"Pryor",4.344,0.491500020027161,2.48860481582351,0.083146354,1.65714127582351
"Katsas",4.218,NA,NA,0.081150388,NA
"Duncan",4.148,0.5225,2.70478796670049,0.080041518,1.90437278670049
"Tymkovich",4.136,0.401000022888184,1.95779889448649,0.079851426,1.15928463448649
"Gruender",4.083,0.337000012397766,1.64567342990292,0.079011853,0.855554899902915
"Mansfield",3.942,NA,NA,0.076778272,NA
"Hardiman",3.919,0.068000003695488,0.609158876671329,0.076413929,-0.154980413328672
"Thapar",3.86,0.64,3.79468082422701,0.07547931,3.03988772422701
"Canady",3.837,NA,NA,0.075114967,NA
"Ho",3.795,0.655,3.97959752403419,0.074449645,3.23510107403419
"Larsen",3.736,NA,NA,0.073515026,NA
"Stras",3.691,NA,NA,0.072802181,NA
"Sykes",3.682,0.693000018596649,4.52057866026917,0.072659612,3.79398254026917
"Ryan",3.681,0.3355,1.63882229294389,0.072643771,0.912384582943894
"Lee",3.662,NA,NA,0.072342792,NA
"Phipps",3.633,0.647,3.87922361783586,0.071883403,3.16038958783586
"Willett",3.614,0.655,3.97959752403419,0.071582424,3.26377328403419
"Kethledge",3.609,0.693000018596649,4.52057866026917,0.071503219,3.80554647026917
"Barrett",3.509,0.474,2.37544831811377,0.069919119,1.67625712811377
"Young",3.48,NA,NA,0.06945973,NA
"Newsom",3.414,0.4945,2.5086091474667,0.068414224,1.8244669074667
"Colloton",3.33,0.342000007629395,1.66864782131343,0.06708358,0.997812021313426
"Eid",3.239,0.444,2.1941662679065,0.065642049,1.5377457779065
"Blackwell",2.844,NA,NA,0.059384854,NA
"Grant",2.596,0.484,2.43938564316935,0.055456286,1.88482278316935
"Lagoa",2.431,0.5415,2.84876233400526,0.052842521,2.32033712400526
